Index,Number,Name,Type-1,Type-2,Total,HP,Attack,Defense,Sp-Atk,Sp-Def,Speed,Egg-Group-1,Egg-Group-2,Experience-type,XP-Mult,HP-base,HP/Nv,FOR,DES,CON,INT,SAB,CAR,Armor
0,001,Bulbasaur,GRASS,POISON,318,45,49,49,65,65,45,Monster,Grass,Medium-Slow,-5,10,3,7,6,8,9,9,3d4,4
1,002,Ivysaur,GRASS,POISON,405,60,62,63,80,80,60,Monster,Grass,Medium-Slow,-5,13,4,8,8,9,10,10,3d4,5
2,003,Venusaur,GRASS,POISON,525,80,82,83,100,100,80,Monster,Grass,Medium-Slow,-5,17,5,11,10,12,13,13,3d4,7
3,003,Mega-Venusaur,GRASS,POISON,625,80,100,123,122,120,80,Monster,Grass,Medium-Slow,-5,17,5,13,10,16,16,15,3d4,9
4,004,Charmander,FIRE,,309,39,52,43,60,50,65,Monster,Dragon,Medium-Slow,-5,8,2,7,9,6,8,7,3d4,3
5,005,Charmeleon,FIRE,,405,58,64,58,80,65,80,Monster,Dragon,Medium-Slow,-5,12,3,8,10,8,10,9,3d4,4
6,006,Charizard,FIRE,FLYING,534,78,84,78,109,85,100,Monster,Dragon,Medium-Slow,-5,16,4,11,13,11,14,11,3d4,6
7,006,Mega-Charizard-X,FIRE,DRAGON,634,78,130,111,130,85,100,Monster,Dragon,Medium-Slow,-5,16,4,17,13,13,17,11,3d4,7
8,006,Mega-Charizard-Y,FIRE,FLYING,634,78,104,78,159,115,100,Monster,Dragon,Medium-Slow,-5,16,4,13,13,13,20,15,3d4,7
9,007,Squirtle,WATER,,314,44,48,65,50,64,43,Monster,Water-1,Medium-Slow,-5,9,3,6,6,9,7,8,3d4,5
10,008,Wartortle,WATER,,405,59,63,80,65,80,58,Monster,Water-1,Medium-Slow,-5,12,3,8,8,10,9,10,3d4,6
11,009,Blastoise,WATER,,530,79,83,100,85,105,78,Monster,Water-1,Medium-Slow,-5,16,4,11,10,13,11,14,3d4,8
12,009,Mega-Blastoise,WATER,,630,79,103,120,135,115,78,Monster,Water-1,Medium-Slow,-5,16,4,13,10,15,17,15,3d4,9
13,010,Caterpie,BUG,,195,45,30,35,20,20,45,Bug,,Medium-Fast,5,10,3,4,6,4,3,3,3d4,2
14,011,Metapod,BUG,,205,50,20,55,25,25,30,Bug,,Medium-Fast,5,11,3,3,4,5,4,4,3d4,3
15,012,Butterfree,BUG,FLYING,395,60,45,50,90,80,70,Bug,,Medium-Fast,5,13,4,6,9,9,12,10,3d4,5
16,013,Weedle,BUG,POISON,195,40,35,30,20,20,50,Bug,,Medium-Fast,5,9,3,5,7,4,3,3,3d4,2
17,014,Kakuna,BUG,POISON,205,45,25,50,25,25,35,Bug,,Medium-Fast,5,10,3,4,5,5,4,4,3d4,3
18,015,Beedrill,BUG,POISON,395,65,90,40,45,80,75,Bug,,Medium-Fast,5,14,4,12,10,8,6,10,3d4,4
19,015,Mega-Beedrill,BUG,POISON,495,65,150,40,15,80,145,Bug,,Medium-Fast,5,14,4,19,19,8,2,10,3d4,4
20,016,Pidgey,NORMAL,FLYING,251,40,45,40,35,35,56,Flying,,Medium-Slow,-5,9,3,6,7,5,5,5,3d4,3
21,017,Pidgeotto,NORMAL,FLYING,349,63,60,55,50,50,71,Flying,,Medium-Slow,-5,13,4,8,9,7,7,7,3d4,4
22,018,Pidgeot,NORMAL,FLYING,479,83,80,75,70,70,101,Flying,,Medium-Slow,-5,17,5,10,13,10,9,9,3d4,5
23,018,Mega-Pidgeot,NORMAL,FLYING,579,83,80,80,135,80,121,Flying,,Medium-Slow,-5,17,5,10,16,10,17,10,3d4,6
24,019,Rattata,NORMAL,,253,30,56,35,25,35,72,Field,,Medium-Fast,5,7,2,7,9,5,4,5,3d4,2
25,019,Alolan-Rattata,DARK,NORMAL,253,30,56,35,25,35,72,Field,,Medium-Fast,5,7,2,7,9,5,4,5,3d4,2
26,020,Raticate,NORMAL,,413,55,81,60,50,70,97,Field,,Medium-Fast,5,12,3,11,13,9,7,9,3d4,5
27,020,Alolan-Raticate,DARK,NORMAL,413,75,71,70,40,80,77,Field,,Medium-Fast,5,16,4,9,10,10,5,10,3d4,6
28,021,Spearow,NORMAL,FLYING,262,40,60,30,31,31,70,Flying,,Medium-Fast,5,9,3,8,9,4,4,4,3d4,2
29,022,Fearow,NORMAL,FLYING,442,65,90,65,61,61,100,Flying,,Medium-Fast,5,14,4,12,13,8,8,8,3d4,5
30,023,Ekans,POISON,,288,35,60,44,40,54,55,Field,Dragon,Medium-Fast,5,8,2,8,7,7,5,7,3d4,3
31,024,Arbok,POISON,,448,60,95,69,65,79,80,Field,Dragon,Medium-Fast,5,13,4,12,10,10,9,10,3d4,5
32,025,Pikachu,ELECTRIC,,320,35,55,40,50,50,90,Field,Fairy,Medium-Fast,5,8,2,7,12,6,7,7,3d4,3
33,025,Pikachu-Partner-Pikachu,ELECTRIC,,430,45,80,50,75,60,120,Field,Fairy,Medium-Fast,5,10,3,10,15,7,10,8,3d4,4
34,026,Raichu,ELECTRIC,,485,60,90,55,90,80,110,Field,Fairy,Medium-Fast,5,13,4,12,14,9,12,10,3d4,5
35,026,Alolan-Raichu,ELECTRIC,PSYCHIC,485,60,85,50,95,85,110,Field,Fairy,Medium-Fast,5,13,4,11,14,9,12,11,3d4,5
36,027,Sandshrew,GROUND,,300,50,75,85,20,30,40,Field,,Medium-Fast,5,11,3,10,5,8,3,4,3d4,4
37,027,Alolan-Sandshrew,ICE,STEEL,300,50,75,90,10,35,40,Field,,Medium-Fast,5,11,3,10,5,8,2,5,3d4,5
38,028,Sandslash,GROUND,,450,75,100,110,45,55,65,Field,,Medium-Fast,5,16,4,13,9,11,6,7,3d4,6
39,028,Alolan-Sandslash,ICE,STEEL,450,75,100,120,25,65,65,Field,,Medium-Fast,5,16,4,13,9,12,4,9,3d4,7
40,029,NidoranF,POISON,,275,55,47,52,40,40,41,Monster,Field,Medium-Slow,-5,12,3,6,6,6,5,5,3d4,3
41,030,Nidorina,POISON,,365,70,62,67,55,55,56,No-Eggs-Discovered,,Medium-Slow,-5,15,4,8,7,8,7,7,3d4,4
42,031,Nidoqueen,POISON,GROUND,505,90,92,87,75,85,76,No-Eggs-Discovered,,Medium-Slow,-5,19,5,12,10,11,10,11,3d4,6
43,032,NidoranM,POISON,,273,46,57,40,40,40,50,Monster,Field,Medium-Slow,-5,10,3,8,7,5,5,5,3d4,3
44,033,Nidorino,POISON,,365,61,72,57,55,55,65,Monster,Field,Medium-Slow,-5,13,4,9,9,7,7,7,3d4,4
45,034,Nidoking,POISON,GROUND,505,81,102,77,85,75,85,Monster,Field,Medium-Slow,-5,17,5,13,11,10,11,10,3d4,6
46,035,Clefairy,FAIRY,,323,70,45,48,60,65,35,Fairy,,Fast,10,15,4,6,5,8,8,9,3d4,4
47,036,Clefable,FAIRY,,483,95,70,73,95,90,60,Fairy,,Fast,10,20,5,9,8,11,12,12,3d4,6
48,037,Vulpix,FIRE,,299,38,41,40,50,65,65,Field,,Medium-Fast,5,8,2,6,9,7,7,9,3d4,4
49,037,Alolan-Vulpix,ICE,,299,38,41,40,50,65,65,Field,,Medium-Fast,5,8,2,6,9,7,7,9,3d4,4
50,038,Ninetales,FIRE,,505,73,76,75,81,100,100,Field,,Medium-Fast,5,15,4,10,13,11,11,13,3d4,7
51,038,Alolan-Ninetales,ICE,FAIRY,505,73,67,75,81,100,109,Field,,Medium-Fast,5,15,4,9,14,11,11,13,3d4,7
52,039,Jigglypuff,NORMAL,FAIRY,270,115,45,20,45,25,20,Fairy,,Fast,10,24,6,6,3,3,6,4,3d4,1
53,040,Wigglytuff,NORMAL,FAIRY,435,140,70,45,85,50,45,Fairy,,Fast,10,29,8,9,6,6,11,7,3d4,3
54,041,Zubat,POISON,FLYING,245,40,45,35,30,40,55,Flying,,Medium-Fast,5,9,3,6,7,5,4,5,3d4,3
55,042,Golbat,POISON,FLYING,455,75,80,70,65,75,90,Flying,,Medium-Fast,5,16,4,10,12,10,9,10,3d4,5
56,043,Oddish,GRASS,POISON,320,45,50,55,75,65,30,Grass,,Medium-Slow,-5,10,3,7,4,8,10,9,3d4,4
57,044,Gloom,GRASS,POISON,395,60,65,70,85,75,40,Grass,,Medium-Slow,-5,13,4,9,5,10,11,10,3d4,5
58,045,Vileplume,GRASS,POISON,490,75,80,85,110,90,50,Grass,,Medium-Slow,-5,16,4,10,7,11,14,12,3d4,7
59,046,Paras,BUG,GRASS,285,35,70,55,45,55,25,Bug,Grass,Medium-Fast,5,8,2,9,4,7,6,7,3d4,4
60,047,Parasect,BUG,GRASS,405,60,95,80,60,80,30,Bug,Grass,Medium-Fast,5,13,4,12,4,10,8,10,3d4,6
61,048,Venonat,BUG,POISON,305,60,55,50,40,55,45,Bug,,Medium-Fast,5,13,4,7,6,7,5,7,3d4,4
62,049,Venomoth,BUG,POISON,450,70,65,60,90,75,90,Bug,,Medium-Fast,5,15,4,9,12,9,12,10,3d4,5
63,050,Diglett,GROUND,,265,10,55,25,35,45,95,Field,,Medium-Fast,5,3,1,7,12,5,5,6,3d4,2
64,050,Alolan-Diglett,GROUND,STEEL,265,10,55,30,35,45,90,Field,,Medium-Fast,5,3,1,7,12,5,5,6,3d4,3
65,051,Dugtrio,GROUND,,425,35,100,50,50,70,120,Field,,Medium-Fast,5,8,2,13,15,8,7,9,3d4,4
66,051,Alolan-Dugtrio,GROUND,STEEL,425,35,100,60,50,70,110,Field,,Medium-Fast,5,8,2,13,14,9,7,9,3d4,5
67,052,Meowth,NORMAL,,290,40,45,35,40,40,90,Field,,Medium-Fast,5,9,3,6,12,5,5,5,3d4,3
68,052,Alolan-Meowth,DARK,,290,40,35,35,50,40,90,Field,,Medium-Fast,5,9,3,5,12,5,7,5,3d4,3
69,052,Galarian-Meowth,STEEL,,290,50,65,55,40,40,40,Field,,Medium-Fast,5,11,3,9,5,6,5,5,3d4,3
70,053,Persian,NORMAL,,440,65,70,60,65,65,115,Field,,Medium-Fast,5,14,4,9,15,8,9,9,3d4,5
71,053,Alolan-Persian,DARK,,440,65,60,60,75,65,115,Field,,Medium-Fast,5,14,4,8,15,8,10,9,3d4,5
72,054,Psyduck,WATER,,320,50,52,48,65,50,55,Water-1,Field,Medium-Fast,5,11,3,7,7,7,9,7,3d4,3
